Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,10935012,"28° 03' 09,0639''","- 16° 38' 21,1146''",172.2327,217082,0.05,979355.47
Tenerife,10935013,28° 03' 02'',- 16° 37' 59'',156.2203,no encontrada,no encontrada,979357.23
Tenerife,10935014,28° 02' 59'',- 16° 37' 34'',144.0627,no encontrada,no encontrada,979357.66
Tenerife,10935015,28° 03' 01'',- 16° 37' 25'',141.5831,no encontrada,no encontrada,979357.23
Tenerife,10935016,28° 03' 02'',- 16° 37' 25'',145.6770,no encontrada,no encontrada,979355.47
Tenerife,10935017,28° 03' 02'',- 16° 37' 25'',146.0857,no encontrada,no encontrada,979356.39
Tenerife,10935018,28° 03' 05'',- 16° 36' 43'',133.0762,no encontrada,no encontrada,979357.05
Tenerife,10935019,28° 03' 07'',- 16° 36' 32'',126.4038,no encontrada,no encontrada,979356.74
Tenerife,10935020,28° 03' 11'',- 16° 35' 53'',132.8946,no encontrada,no encontrada,979353.02
Tenerife,10935021,"28° 03' 19,3600''","- 16° 35' 28,2100''",142.5432,187275,0.05,979352.14
Tenerife,10935022,28° 03' 18'',- 16° 35' 28'',142.2982,no encontrada,no encontrada,979352.15
Tenerife,10935023,28° 03' 25'',- 16° 35' 08'',144.7292,no encontrada,no encontrada,979351.2
Tenerife,10935024,28° 03' 34'',- 16° 34' 46'',140.9274,no encontrada,no encontrada,979351.63
Tenerife,10935025,28° 03' 46'',- 16° 34' 25'',135.0054,no encontrada,no encontrada,979352.56
Tenerife,10935026,28° 03' 47'',- 16° 34' 26'',136.9795,no encontrada,no encontrada,979352.1
Tenerife,10935027,"28° 03' 52,3258''","- 16° 34' 16,8105''",138.4230,183321,0.05,979351.51
Tenerife,10935028,"28° 04' 05,2247''","- 16° 33' 46,3191''",158.0336,203132,0.05,979346.54
Tenerife,10935029,"28° 03' 37,5513''","- 16° 42' 00,5924''",113.8202,160475,0.05,979372.93
Tenerife,10935030,"28° 03' 33,2893''","- 16° 41' 27,2696''",153.2892,199106,0.05,979363.14
Tenerife,10935031,"28° 03' 19,8057''","- 16° 40' 59,0653''",122.3232,164239,0.05,979368.76
Tenerife,10936001,"28° 25' 33,9433''","- 16° 29' 51,1220''",550.3128,311517,0.05,979300.84
Tenerife,10936002,"28° 29' 20,7500''","- 16° 18' 58,4700''",550.3147,594963,0.05,979300.53
Tenerife,10936003,28° 29' 20'',- 16° 18' 59'',561.4062,no encontrada,no encontrada,979300.68
Tenerife,10936004,"28° 29' 24,7''","- 16° 19' 44,1''",572.7143,618,no encontrada,979299.32
Tenerife,10936005,28° 29' 24'',- 16° 20' 09'',585.2092,no encontrada,no encontrada,979298.74
Tenerife,10936006,"28° 29' 23,0284''","- 16° 20' 25,0402''",600.7341,645550,0.05,979296.21
Tenerife,10936007,28° 29' 24'',- 16° 20' 39'',602.3576,no encontrada,no encontrada,979295.79
Tenerife,10936008,"28° 29' 24,2200''","- 16° 20' 53,8600''",627.9534,672582,no encontrada,979290.42
Tenerife,10936009,28° 29' 27'',- 16° 21' 22'',625.3965,no encontrada,no encontrada,979294.01
