id,AB,Longitud,Latitud
809,160.000000,-25418,37769
810,160.000000,-25421,37768
811,160.000000,-25421,37765
812,160.000000,-25422,37760
813,160.000000,-25424,37755
814,160.000000,-25424,37751
815,160.000000,-25421,37748
816,160.000000,-25424,37743
817,160.000000,-25423,37739
818,160.000000,-25423,37735
819,160.000000,-25420,37732
820,160.000000,-25414,37728
821,160.000000,-25409,37727
822,160.000000,-25404,37728
823,160.000000,-25399,37730
824,160.000000,-25395,37728
825,160.000000,-25391,37727
826,160.000000,-25386,37727
827,160.000000,-25381,37727
828,160.000000,-25377,37726
829,160.000000,-25374,37724
830,160.000000,-25369,37721
831,160.000000,-25365,37719
832,160.000000,-25361,37717
833,160.000000,-25358,37713
834,160.000000,-25357,37709
835,160.000000,-25356,37706
836,160.000000,-25356,37702
837,160.000000,-25354,37699
838,160.000000,-25663,37859
839,160.000000,-25664,37856
840,160.000000,-25665,37852
841,160.000000,-25665,37849
842,160.000000,-25665,37844
843,160.000000,-25665,37840
844,160.000000,-25665,37836
845,160.000000,-25666,37831
846,160.000000,-25666,37826
847,160.000000,-25665,37823
848,160.000000,-25663,37820
849,160.000000,-25660,37817
850,160.000000,-25661,37813
851,160.000000,-25661,37809
852,160.000000,-25660,37806
853,160.000000,-25658,37805
854,160.000000,-25654,37806
855,160.000000,-25652,37802
856,160.000000,-25649,37799
857,160.000000,-25646,37797
858,160.000000,-25650,37796
859,160.000000,-25654,37797
860,160.000000,-25658,37794
861,161.000000,-25662,37792
862,160.000000,-25666,37791
863,160.000000,-25669,37789
864,160.000000,-25671,37786
865,160.000000,-25673,37783
866,160.000000,-25674,37779
867,160.000000,-25677,37776
868,160.000000,-25678,37773
869,160.000000,-25680,37768
870,160.000000,-25684,37767
871,160.000000,-25689,37765
872,160.000000,-25693,37763
873,160.000000,-25696,37761
874,160.000000,-25701,37759
875,160.000000,-25706,37758
876,160.000000,-25710,37759
877,160.000000,-25714,37759
878,160.000000,-25719,37759
879,160.000000,-25723,37758
880,160.000000,-25727,37757
881,160.000000,-25731,37755
882,160.000000,-25737,37753
883,160.000000,-25741,37751
884,160.000000,-25744,37749
885,160.000000,-25748,37747
886,140.000000,-25755,37896
887,160.000000,-25757,37893
888,160.000000,-25761,37892
889,160.000000,-25766,37892
890,140.000000,-25769,37892
891,140.000000,-25753,37899
892,140.000000,-25751,37903
893,140.000000,-25750,37907
894,140.000000,-25774,37893
895,140.000000,-25779,37893
896,140.000000,-25783,37894
897,140.000000,-25786,37895
898,140.000000,-25790,37897
899,140.000000,-25792,37898
900,140.000000,-25795,37901
901,140.000000,-25797,37903
902,140.000000,-25799,37904
903,140.000000,-25802,37906
904,140.000000,-25804,37909
905,145.000000,-25736,37901
906,145.000000,-25739,37899
907,145.000000,-25741,37897
908,145.000000,-25744,37895
909,145.000000,-25747,37893
910,145.000000,-25748,37891
911,145.000000,-25751,37889
912,145.000000,-25753,37887
913,145.000000,-25756,37885
914,145.000000,-25759,37882
915,145.000000,-25763,37882
916,145.000000,-25766,37883
917,145.000000,-25772,37883
918,145.000000,-25775,37883
919,145.000000,-25780,37883
920,145.000000,-25784,37884
921,145.000000,-25788,37884
922,145.000000,-25792,37883
923,145.000000,-25795,37883
924,145.000000,-25799,37881
925,145.000000,-25802,37880
926,145.000000,-25805,37878
927,145.000000,-25808,37877
928,145.000000,-25811,37876
929,145.000000,-25815,37874
930,145.000000,-25819,37873
931,145.000000,-25822,37872
932,145.000000,-25824,37870
933,145.000000,-25826,37866
934,145.000000,-25827,37863
935,145.000000,-25829,37859
936,145.000000,-25832,37857
937,145.000000,-25834,37854
938,145.000000,-25837,37851
939,145.000000,-25841,37851
940,145.000000,-25847,37851
941,145.000000,-25850,37851
942,145.000000,-25852,37852
943,145.000000,-25856,37854
944,145.000000,-25860,37856
945,145.000000,-25865,37857
946,145.000000,-25868,37857
947,150.000000,-25715,37888
948,150.000000,-25715,37886
949,150.000000,-25716,37884
950,150.000000,-25719,37882
951,150.000000,-25721,37880
952,150.000000,-25723,37877
953,150.000000,-25725,37874
954,150.000000,-25728,37872
955,150.000000,-25732,37870
956,150.000000,-25735,37869
957,150.000000,-25738,37867
958,150.000000,-25742,37865
959,150.000000,-25746,37863
960,150.000000,-25749,37864
961,150.000000,-25752,37866
962,150.000000,-25755,37867
963,150.000000,-25758,37869
964,150.000000,-25762,37871
965,150.000000,-25765,37872
966,150.000000,-25769,37872
967,150.000000,-25772,37873
968,150.000000,-25776,37873
969,150.000000,-25780,37874
970,150.000000,-25784,37875
971,150.000000,-25787,37876
972,150.000000,-25790,37877
973,150.000000,-25794,37876
974,150.000000,-25796,37875
975,150.000000,-25798,37872
976,150.000000,-25797,37869
977,150.000000,-25794,37866
978,150.000000,-25792,37864
979,150.000000,-25790,37862
980,150.000000,-25790,37859
981,150.000000,-25792,37857
982,150.000000,-25795,37854
983,150.000000,-25797,37852
984,150.000000,-25800,37851
985,150.000000,-25804,37850
986,150.000000,-25807,37849
987,150.000000,-25810,37847
988,150.000000,-25811,37845
989,150.000000,-25813,37842
990,150.000000,-25815,37840
991,150.000000,-25818,37838
992,150.000000,-25822,37838
993,150.000000,-25826,37837
