id,AB (mGal),Longitud,Latitud
626,130.000000,-28.317,38.422
627,130.000000,-28.317,38.425
628,130.000000,-28.319,38.427
629,130.000000,-28.320,38.431
630,130.000000,-28.322,38.434
631,130.000000,-28.325,38.436
632,130.000000,-28.325,38.440
633,130.000000,-28.325,38.444
634,130.000000,-28.322,38.447
635,130.000000,-28.319,38.448
636,130.000000,-28.316,38.447
637,130.000000,-28.312,38.446
638,130.000000,-28.309,38.443
639,130.000000,-28.307,38.441
640,130.000000,-28.304,38.439
641,130.000000,-28.301,38.435
642,130.000000,-28.301,38.431
643,130.000000,-28.303,38.425
644,130.000000,-28.303,38.422
645,130.000000,-28.304,38.419
646,130.000000,-28.303,38.417
647,130.000000,-28.304,38.412
648,130.000000,-28.127,38.447
649,130.000000,-28.128,38.445
650,130.000000,-28.127,38.442
651,130.000000,-28.127,38.439
652,130.000000,-28.125,38.437
653,130.000000,-28.122,38.434
654,130.000000,-28.119,38.432
655,130.000000,-28.116,38.430
656,130.000000,-28.112,38.428
657,130.000000,-28.110,38.427
658,130.000000,-28.108,38.426
659,130.000000,-28.106,38.424
660,130.000000,-28.104,38.423
661,130.000000,-28.102,38.420
662,130.000000,-28.098,38.417
663,130.000000,-28.095,38.415
664,130.000000,-28.092,38.414
665,130.000000,-28.090,38.412
666,130.000000,-28.087,38.410
667,130.000000,-28.084,38.408
668,130.000000,-28.082,38.406
669,130.000000,-28.079,38.404
670,130.000000,-28.420,38.433
671,130.000000,-28.418,38.433
672,130.000000,-28.415,38.434
673,130.000000,-28.411,38.434
674,130.000000,-28.408,38.434
675,130.000000,-28.408,38.437
676,130.000000,-28.407,38.440
677,130.000000,-28.407,38.443
678,130.000000,-28.423,38.433
679,130.000000,-28.426,38.433
680,130.000000,-28.428,38.434
681,130.000000,-28.431,38.435
682,130.000000,-28.433,38.436
683,130.000000,-28.434,38.439
684,130.000000,-28.434,38.442
685,130.000000,-28.434,38.444
686,130.000000,-28.418,38.454
687,130.000000,-28.413,38.454
688,130.000000,-28.409,38.453
689,130.000000,-28.405,38.453
690,130.000000,-28.400,38.453
691,130.000000,-28.393,38.452
692,130.000000,-28.388,38.453
693,130.000000,-28.433,38.447
694,130.000000,-28.430,38.449
695,130.000000,-28.427,38.449
696,130.000000,-28.422,38.451
697,130.000000,-28.419,38.451
698,130.000000,-28.408,38.446
699,130.000000,-28.409,38.449
700,130.000000,-28.411,38.450
701,130.000000,-28.415,38.451
541,130.000000,-28.249,38.466
703,131.000000,-28.264,38.459
704,131.000000,-28.261,38.458
705,131.000000,-28.257,38.457
706,131.000000,-28.253,38.456
707,131.000000,-28.249,38.454
708,131.000000,-28.246,38.453
709,131.000000,-28.243,38.454
710,131.000000,-28.243,38.457
711,131.000000,-28.243,38.461
712,131.000000,-28.244,38.465
713,131.000000,-28.243,38.468
714,131.000000,-28.240,38.471
715,131.000000,-28.236,38.471
716,131.000000,-28.234,38.472
717,131.000000,-28.231,38.474
718,131.000000,-28.229,38.475
719,131.000000,-28.226,38.477
720,131.000000,-28.223,38.479
721,131.000000,-28.269,38.456
722,131.000000,-28.271,38.454
723,131.000000,-28.271,38.450
724,131.000000,-28.273,38.447
725,131.000000,-28.276,38.444
726,131.000000,-28.280,38.441
727,131.000000,-28.283,38.439
728,131.000000,-28.286,38.438
729,131.000000,-28.298,38.413
731,131.000000,-28.299,38.419
732,131.000000,-28.297,38.423
733,131.000000,-28.295,38.426
734,131.000000,-28.293,38.430
735,131.000000,-28.291,38.433
736,131.000000,-28.289,38.435
737,131.000000,-28.305,38.475
738,131.000000,-28.301,38.475
739,131.000000,-28.298,38.474
740,131.000000,-28.295,38.472
741,131.000000,-28.292,38.471
742,131.000000,-28.288,38.470
743,131.000000,-28.285,38.468
744,131.000000,-28.290,38.456
745,131.000000,-28.287,38.457
746,131.000000,-28.284,38.458
747,131.000000,-28.281,38.460
748,131.000000,-28.279,38.463
749,131.000000,-28.281,38.466
750,131.000000,-28.294,38.457
751,131.000000,-28.320,38.460
752,131.000000,-28.316,38.461
753,131.000000,-28.311,38.461
754,131.000000,-28.306,38.461
755,131.000000,-28.302,38.459
756,131.000000,-28.299,38.458
757,131.000000,-28.330,38.428
758,131.000000,-28.329,38.430
759,131.000000,-28.330,38.434
760,131.000000,-28.333,38.438
761,131.000000,-28.334,38.441
762,131.000000,-28.337,38.446
763,131.000000,-28.334,38.451
764,131.000000,-28.331,38.455
765,131.000000,-28.326,38.458
