Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal
-155.558618,20.094887,466.6,978824.56,978498.2864162546,326.2735837454675,275.4057849454675,290.2975854953622
-155.583611,20.108887,390.1,978835.69,978522.7145771806,312.97542281937785,270.44750101937785,284.499933758351
-155.530283,20.11472,96.3,978892.19,978613.7482343303,278.44176566961687,267.94333226961686,281.1692885032151
-155.445109,20.08372,166.1,978876.31,978590.3954348267,285.914565173327,267.806675373327,283.8804348830528
-155.482615,20.097386,136.9,978882.56,978600.2050436019,282.354956398136,267.43039219813596,282.3064447928715
-155.429943,20.033222,622.4,978782.88,978446.6136681468,336.2663318532286,268.41352865322864,284.6532465767358
-155.292448,19.984223,548.0,978786.5,978466.7344457147,319.765554285259,260.02369028525897,281.74979650738385
-155.251952,19.963557,474.9,978801.81,978488.1000449616,313.7099550385028,261.9373068385028,282.85618916295095
-155.105628,19.621907,335.3,978792.25,978511.5516949362,280.69830506376456,244.14456966376457,255.3660966863991
-155.077461,19.645239,175.3,978822.56,978562.2747013544,260.2852986456128,241.1744432456128,253.46394670843526
-155.297629,19.526917,1558.1,978559.94,978128.7942689391,431.1457310608821,261.28478526088213,277.68760429468364
-155.43195,19.585747,2368.9,978392.38,977882.0548308728,510.32516912720166,252.07242892720166,273.2943365258935
-155.57645,19.536252,3397.3,978178.81,977562.1689408108,616.64105918922,246.27420778921993,285.70817676377186
-155.46828,19.60158,2399.4,978385.5,977873.5516920323,511.94830796774477,250.37051876774473,271.0313825855658
-155.481447,19.636911,2149.1,978444.56,977952.7605333598,491.7994666402228,257.5088828402228,275.29201050204256
-155.532793,19.629912,2243.3,978414.06,977923.3085182265,490.7514817735646,246.19140237356456,264.7178321578375
-155.595124,19.621915,2272.3,978392.25,977913.9083395599,478.3416604400845,230.6200590400845,249.5753438494065
-155.558779,19.626747,2252.5,978406.0,977920.2905105597,485.7094894403126,240.1464444403126,260.30401909631007
-155.171452,19.726068,442.9,978766.0,978484.2957111051,281.70428889489267,233.42021669489267,258.32238340940063
-155.124791,19.731902,251.5,978805.56,978543.7113727388,261.8486272612354,234.43060026123538,246.62847086818525
-155.141453,19.768567,433.4,978775.69,978489.6662933126,286.0237066873815,238.7753054873815,252.29518545663925
-155.139957,19.809397,438.9,978789.0,978490.3152715245,298.6847284755204,250.8367282755204,267.5148700271885
-155.15645,19.858563,388.6,978801.5,978508.6724413398,292.82755866018124,250.46316386018123,265.3735008762699
-155.179948,19.901894,449.6,978802.81,978492.3436714505,310.46632854954805,261.451835749548,280.9815129705154
-155.516949,20.012058,1027.8,978712.94,978320.2753998756,392.6646001243498,280.6158997243498,294.58377154744767
-155.519619,19.98856,1172.0,978681.69,978274.4171647496,407.2728352503618,279.50373925036183,294.18339391852265
-155.583614,19.949064,1152.1,978679.44,978278.270158352,401.16984164796304,275.57020384796306,288.9416944487157
-155.586941,19.932898,1222.2,978659.56,978255.7052210696,403.85477893042844,270.6129793304284,284.55845900315234
-155.615107,19.985726,937.3,978735.44,978346.6755395185,388.76446048147045,286.5818890814704,296.9210474776191
-155.640116,20.003226,865.6,978754.5,978369.816529534,384.68347046605777,290.3174896660578,299.853740019518
-155.116292,19.696904,193.5,978814.25,978559.6107621652,254.63923783483915,233.54425483483914,244.8717292898474
-155.141286,19.685238,342.3,978783.06,978513.0098492084,270.0501507916488,232.73328939164878,244.79457953505934
-155.239781,19.696906,914.4,978674.19,978337.1055060213,337.0844939786475,237.39843477864753,250.88205456051105
-155.333286,19.676075,1524.0,978573.69,978147.8195511937,425.8704488062067,259.7270168062067,274.9298376602186
-155.365283,19.669909,1689.8,978546.25,978096.3181249653,449.9318750347011,265.7132586347011,280.54580079683205
-155.400118,19.682241,1828.8,978524.0,978054.1456094857,469.85439051431604,270.48227211431606,286.1611102666639
-155.435625,19.685408,1943.1,978504.25,978019.0703003503,485.17969964968506,273.34682384968505,289.56431938806713
-155.460617,19.765572,2938.3,978293.88,977716.7707078464,577.1092921536183,256.7817027536183,297.0255644931227
-155.40729,19.727907,2112.3,978460.75,977969.3173899634,491.43261003657244,261.15388863657245,284.7975536578035
-155.374788,19.716573,1738.9,978534.06,978083.8430564195,450.2169435805408,260.6455433805408,279.39466228366314
-155.390124,19.732237,2053.4,978468.75,977987.7320356125,481.01796438754536,257.16040318754534,278.6527767514265
-155.369616,19.756071,2051.0,978463.06,977989.8396813845,473.22031861555297,249.62440061555296,273.5797447498518
-155.342286,19.785402,2005.3,978466.63,978005.6198454984,461.0101545016514,242.3963591016514,264.95414093812843
-155.336778,19.819066,2010.5,978466.0,978005.9520987883,460.0479012116557,240.8672122116557,267.3363392135151
-155.33728,19.846565,1957.7,978484.13,978023.8213951348,460.3086048652185,246.8840662652185,273.4654727023933
-155.33812,19.877729,1891.3,978498.25,978046.0993259753,452.1506740247132,245.96493062471322,271.52080763191725
-155.335784,19.914893,1613.9,978561.56,978133.8160152652,427.74398473487236,251.79983453487233,275.6572296410616
-155.364776,19.928228,1638.6,978558.31,978126.9670253879,431.3429746121401,252.7060798121401,279.8168211898114
-155.393447,19.911228,2079.7,978464.25,977989.9232429708,474.3267570291646,247.6020224291646,278.5056018643822
-155.158957,19.618574,580.6,978745.56,978435.6462924894,309.9137075106846,246.6178567106846,258.8001810651981
-155.174627,19.651908,594.4,978736.81,978433.2903446999,303.5196553001879,238.7193561001879,252.26373685255595
-155.366458,19.64991,1731.3,978533.88,978082.3728888263,451.5071111737052,262.76424777370516,278.0591290151364
-155.360295,19.624412,1752.6,978523.88,978074.3461401437,449.5338598563103,258.46891305631027,275.8756245977987
-155.091453,19.586909,346.6,978796.44,978506.0679168106,290.37208318931516,252.58644438931515,265.16157749619987
-155.267295,19.480252,1280.8,978622.81,978211.6984820049,411.11151799513027,271.48126359513026,285.9325381420832
-155.247292,19.460252,1155.2,978649.88,978249.3189114673,400.56108853267506,274.62349493267504,289.7601629298882
-155.467957,19.800904,3773.4,978124.69,977461.3880444012,663.3019555987557,251.9334343987557,309.95162619477253
-155.468123,19.82057,4205.0,978010.81,977329.5219021534,681.288097846671,222.86740784667097,310.5580393699663
-155.474944,19.811069,3994.4,978075.25,977393.868195128,681.381804871955,245.9203056719549,312.0858909132624
-155.718938,20.194884,6.4,978905.06,978646.1802903207,258.87970967940055,258.18199447940054,277.16475189267476
-155.712271,20.17022,563.9,978792.63,978472.646818204,319.98318179603666,258.50793159603666,273.3712324201468
-155.691779,20.161219,623.3,978786.19,978453.7879909531,332.40200904686935,264.4510896468694,287.47190009331484
-155.823111,20.12239,618.1,978757.63,978453.1280754327,304.5019245672738,237.1178987672738,249.3580911575678
-155.859777,20.105724,204.2,978827.44,978579.914838448,247.5251615518937,225.26368595189368,234.38200305747225
-155.877279,20.098559,8.5,978874.44,978639.9126427657,234.5273572342703,233.60070423427032,241.4573953846623
-155.839774,20.111057,423.4,978793.19,978512.5623109026,280.6276890973095,234.46946789730947,244.13215066759864
-155.669778,20.055223,1127.8,978723.19,978291.9248069035,431.26519309647847,308.31469269647846,322.0947971351792
-155.676446,20.085223,1227.1,978686.63,978263.0298451541,423.6001548458589,289.8241670458589,307.99551675988636
-155.170954,19.35059,831.5,978709.19,978343.0084671776,366.1815328223165,275.53306582231653,292.9303163767405
-155.138134,19.335926,701.6,978720.69,978382.2714252088,338.4185747911688,261.9315459911688,283.08060098431247
-155.117458,19.328592,499.3,978756.25,978444.2968784769,311.95312152314,257.52043412314,280.83313196331545
-155.095624,19.326924,282.5,978798.56,978511.123611242,287.43638875801116,256.63880375801114,278.2693631247357
-155.073468,19.32659,107.3,978834.94,978565.1896207797,269.7503792202333,258.0527478202333,280.2611020765931
-155.040799,19.329423,23.2,978850.56,978591.3127755711,259.2472244289238,256.7180068289238,280.4119026251865
-155.900609,20.184388,3.4,978855.13,978646.4930803658,208.63691963418387,208.26625843418387,216.88788337199017
-155.892277,20.20022,83.2,978841.44,978622.7824654399,218.65753456007224,209.58723696007223,216.78697271623997
-155.885608,20.216052,112.8,978838.38,978614.5704963637,223.80950363632292,211.51227323632293,219.76754832813654
-155.877277,20.226885,137.2,978837.75,978607.6719133082,230.07808669179212,215.12081709179213,223.75851071936503
-155.853946,20.239051,185.3,978833.25,978593.5355217581,239.7144782418618,219.5134428418618,228.59812056175397
-155.867939,20.264883,16.5,978861.63,978647.1597012372,214.47029876278248,212.67150176278247,219.41218965357842
-155.833271,20.252884,106.4,978849.44,978618.7027115414,230.73728845850565,219.13777325850563,227.80790462023145
-155.826436,20.238216,162.2,978842.31,978600.6176405186,241.69235948147252,224.00963988147254,232.937368430573
-155.812779,20.234382,168.2,978842.88,978598.5409278492,244.33907215076033,226.00224455076034,233.62168061907738
-155.805607,20.230218,146.6,978850.63,978604.9651665739,245.66483342612628,229.68279462612628,240.2242674081158
-155.771275,20.246214,9.4,978874.06,978648.2576703716,225.8023296284955,224.7775604284955,232.78112963320694
-155.767933,20.222549,80.5,978870.06,978624.9220881022,245.13791189785115,236.36196289785116,247.51860622560568
-155.734777,20.205218,148.1,978865.13,978603.0393932817,262.0906067183241,245.94504091832414,258.24089394491267
-155.745611,20.216882,120.1,978865.88,978612.3654699422,253.51453005778603,240.42146825778605,252.1063669422855
-155.758276,20.20155,280.4,978836.44,978561.9843933,274.4556066999212,243.8869594999212,253.8302423447392
