Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal,Bouguer_Completa_2.3_mGal,Bouguer_Completa_2.8_mGal,Bouguer_Completa_2.9_mGal
-155.292961,19.453587,1280.8,978634.69,978210.1868297266,424.50317027338315,284.87291587338314,339.92611254184146,349.0143936199769,333.8672584897511,330.837831463706
-155.313453,19.490252,1530.7,978575.88,978135.1649967206,440.715003279387,273.841150679387,303.33376587515795,318.52122480124643,293.2087932577657,288.1463069490694
-155.33013,19.504586,1667.0,978542.75,978093.9303184006,448.81968159938697,267.0866755993869,282.18684664609845,300.7498949916776,269.8114810823788,263.62379830051907
-155.33895,19.519918,1836.4,978509.63,978042.5453242387,467.08467576128896,266.88402056128893,300.36304515559556,318.9235704540485,287.98936162329375,281.80251985714267
-155.344626,19.529583,1900.4,978495.31,978023.3532302569,471.95676974311937,264.77896254311935,305.2792444143828,323.83410305321945,292.9093386551582,286.7243857755459
-155.340291,19.544915,1911.4,978488.5,978020.8321062311,467.6678937688703,259.2908885688703,300.8524060977853,319.4267848664891,288.46948691864947,282.27802732908157
-155.087957,19.730235,8.2,978858.31,978618.7251509329,239.58484906714875,238.69090146714876,313.30410085776714,304.17626158950304,319.3893270366098,322.43194012603124
-155.093128,19.785232,52.1,978861.5,978608.3286913956,253.1713086044183,247.4914708044183,331.56979157874946,321.2410688094162,338.4556067583049,341.89851434808264
-155.094959,19.825229,115.5,978852.31,978591.056300619,261.25369938102085,248.66212038102086,330.28294153408234,320.92800271884107,336.5195674109098,339.63788034932355
-155.117281,19.876892,36.9,978884.69,978618.2984949417,266.39150505827274,262.36874085827276,352.485245909223,341.5698914755605,359.76214886499804,363.4006003428856
-155.167619,19.936891,70.7,978885.0,978611.3291422115,273.67085778852925,265.96328518852926,324.43617835825603,315.1905234834239,330.5999482748109,333.68183323308824
-155.205124,19.965223,92.4,978879.25,978606.2694214354,272.9805785645731,262.9073153645731,321.97881121277527,312.9282843379066,328.0124957960211,331.029338087644
-155.256789,20.000888,95.4,978878.13,978607.4097991018,270.7202008982422,260.31988369824217,325.3816256391303,316.2206830780486,331.4889206798514,334.54256820021186
