Site,LatitudeOH,LongitudeOH,LatitudeWGS84,LongitudeWGS84,elevation,ObsGravity
GS0405,19.073166,-155.73616,19.070115,-155.733453,588,978734.44
GS0406,19.014,-155.799667,19.010953,-155.79696,6.1,978823.5
GS0407,18.994667,-155.779327,18.991621,-155.776621,1.5,978822.69
GS0408,19.415167,-155.322174,19.41209,-155.319466,1109.5,978674
GS0409,19.380501,-155.36084,19.377426,-155.358132,965.6,978692.06
GS0410,19.353167,-155.38884,19.350094,-155.386132,864.7,978709.69
GS0411,19.329334,-155.408173,19.326263,-155.405465,777.8,978723
GS0412,19.310667,-155.421341,19.307597,-155.418634,726.9,978729.38
GS0413,19.241167,-155.457336,19.238102,-155.454629,470,978766.19
GS0414,19.037333,-155.661835,19.034283,-155.659129,440.4,978766.38
GS0415,19.004,-155.66716,19.000952,-155.664455,317.3,978792.69
GS0416,18.991333,-155.647171,18.988285,-155.644466,203.9,978814.56
GS0417,18.973,-155.616669,18.969953,-155.613965,1.2,978845.88
GS0418,18.955833,-155.630005,18.952787,-155.627301,3,978847.94
GS0419,18.931667,-155.651993,18.928623,-155.649289,3,978849
GS0420,19.084167,-155.76767,19.081116,-155.764963,598.6,978721.56
GS0421,19.115999,-155.833496,19.112947,-155.830787,524,978721.69
GS0422,19.142334,-155.848999,19.13928,-155.84629,509.3,978723.75
GS0423,19.1705,-155.866669,19.167445,-155.863959,489.2,978725.44
GS0424,19.184668,-155.910004,19.181613,-155.907294,3,978815.75
GS0425,19.201334,-155.905502,19.198278,-155.902791,8.8,978814.31
GS0426,19.209,-155.893997,19.205943,-155.891286,160.3,978785.63
GS0427,19.148834,-155.613327,19.145777,-155.61062,934.8,978663.25
GS0428,19.115999,-155.698669,19.112945,-155.695962,1065.6,978638.25
GS0429,19.155001,-155.699173,19.151945,-155.696465,1438.7,978572.19
GS0430,19.183666,-155.683502,19.180608,-155.680794,1637.4,978531.31
GS0431,19.214001,-155.646164,19.21094,-155.643456,1797.4,978505.75
GS0432,19.2505,-155.609497,19.247437,-155.606789,1879.7,978494.5
GS0433,19.318001,-155.557495,19.314933,-155.554786,2131.2,978454.06
GS0434,19.298334,-155.57666,19.295267,-155.573951,2135.7,978445.88
GS0435,19.402334,-155.81134,19.399265,-155.808627,1458.5,978545.88
GS0436,19.401333,-155.77533,19.398263,-155.772617,1869.9,978460
GS0437,19.413,-155.75267,19.409929,-155.749957,2107.7,978412.88
GS0438,19.445499,-155.796997,19.442427,-155.794283,1613.3,978515.25
GS0439,19.434334,-155.814667,19.431263,-155.811953,1388.1,978564.75
GS0440,19.590834,-155.895004,19.587755,-155.892287,1031.7,978657.94
GS0441,19.607,-155.839661,19.60392,-155.836944,1435.6,978562.75
GS0442,19.634333,-155.816666,19.631251,-155.813949,1668.2,978507.75
GS0443,19.6675,-155.820663,19.664416,-155.817945,1984.9,978432.56
GS0444,19.691833,-155.86734,19.688748,-155.864622,2521,978303.63
GS0445,19.707001,-155.906662,19.703916,-155.903943,1832.8,978465.19
GS0446,19.718334,-155.911331,19.715248,-155.908612,1869.3,978444.75
GS0447,19.749332,-155.927505,19.746245,-155.924785,1080.8,978616.75
GS0448,19.729166,-155.981339,19.726081,-155.978619,533.1,978740.44
GS0449,19.700333,-155.978333,19.697249,-155.975613,443.5,978759.5
GS0450,19.236,-155.818665,19.232941,-155.815955,1333.8,978567.56
GS0451,19.228834,-155.854507,19.225776,-155.851796,819.9,978660.38
GS0452,19.0825,-155.90416,19.079451,-155.901451,4.6,978816.63
GS0453,19.055,-155.883835,19.051952,-155.881127,6.1,978813.06
GS0454,19.518167,-155.824661,19.515091,-155.821946,1385.9,978568.81
GS0455,19.508667,-155.860001,19.505592,-155.857286,1082.6,978638.94
GS0456,19.509001,-155.796341,19.505925,-155.793626,1549,978530.94
GS0457,19.506001,-155.764999,19.502925,-155.762285,1839.5,978470.44
GS0458,19.504999,-155.712494,19.501922,-155.70978,2444.5,978355.56
GS0459,19.504,-155.742661,19.500924,-155.739947,2097,978419.75
GS0460,19.775333,-155.833664,19.772243,-155.830944,1209.1,978573
GS0461,19.736166,-155.847,19.733078,-155.844281,1334.1,978566.69
GS0462,19.821667,-155.881668,19.818575,-155.878947,385.3,978755.31
GS0463,19.858334,-155.925003,19.85524,-155.922281,1.5,978838.13
GS0464,19.792334,-155.845337,19.789243,-155.842617,721.5,978684.44
GS0465,19.833334,-155.990005,19.830243,-155.987283,1.5,978838.19
GS0466,19.775833,-155.975006,19.772745,-155.972285,421.2,978755.75
GS0467,19.7775,-155.926666,19.774411,-155.923946,594.1,978713.5
GS0468,19.794167,-155.878326,19.791076,-155.875606,574.5,978714.06
GS0469,19.798334,-155.868332,19.795243,-155.865612,575.5,978714.38
GS0470,19.808666,-155.845337,19.805574,-155.842617,626.4,978704.81
GS0471,19.833334,-155.818329,19.83024,-155.815609,668.7,978699.25
GS0472,19.839167,-155.787506,19.836072,-155.784786,745.2,978687.25
GS0473,19.843334,-155.755005,19.840239,-155.752285,765,978693.31
GS0474,19.867332,-155.725006,19.864235,-155.722286,785.8,978701.63
GS0475,19.934999,-155.59166,19.931896,-155.58894,1231.7,978655.69
GS0476,19.915833,-155.565002,19.912731,-155.562283,1492,978597.56
GS0477,19.864166,-155.649994,19.861068,-155.647275,1462.7,978582
GS0478,19.836666,-155.597504,19.833569,-155.594786,2269.5,978425.13
GS0479,19.843334,-155.583328,19.840236,-155.58061,2351.5,978412.75
GS0480,19.858334,-155.569168,19.855235,-155.56645,2350,978409.38
GS0481,19.884167,-155.532501,19.881066,-155.529783,2325.6,978409.56
GS0482,19.811666,-155.616669,19.80857,-155.613951,2146.4,978432.81
GS0483,19.624666,-154.948334,19.621571,-154.945626,6.1,978857.88
GS0484,19.737499,-155.009995,19.734398,-155.007285,1.5,978866.31
GS0485,19.338333,-155.224335,19.335259,-155.221629,837.3,978699.69
GS0486,19.358334,-155.324997,19.35526,-155.32229,992.1,978690.5
GS0487,19.700001,-156.001007,19.696918,-155.998287,179.8,978808.19
GS0488,19.690001,-156.035004,19.686919,-156.032284,0.9,978825.75
GS0489,19.726999,-155.636993,19.723909,-155.634276,1816.6,978475.25
GS0490,19.694666,-155.675659,19.691578,-155.672942,1673.4,978495.38
GS0491,19.673666,-155.730331,19.67058,-155.727614,1565.1,978514.81
GS0492,19.644833,-155.766327,19.641749,-155.76361,1567.6,978520.44
GS0493,19.904667,-155.78067,19.901569,-155.777949,438.6,978766.44
GS0494,19.751667,-155.528336,19.748574,-155.52562,1984.6,978499.19
GS0495,19.728333,-155.53833,19.725241,-155.535614,1941,978506.81
GS0496,19.701666,-155.503326,19.698575,-155.500611,2007.7,978493.88
GS0497,19.763834,-155.458664,19.760739,-155.455949,2816.4,978317.63
GS0498,19.2435,-155.404999,19.240434,-155.402293,436.2,978760.31
GS0499,19.250999,-155.432999,19.247933,-155.430292,497.1,978760.5
